 order,family,genus,species,Stem Length Meters,VDbase µm (Vessel diameter stem base micrometers),VDtip µm (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Mín. longitud total de la hoja (cm),Máx. longitud total de la hoja (cm),Mín. longitud del peciolo (cm),Máx. longitud del peciolo (cm),Mín. longitud de la lámina (cm),Máx. longitud de la lámina (cm),Mín. ancho de hoja o lámina (cm),Máx. ancho de hoja o lámina (cm),Tipo de hoja (simple/compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS
Alismatales,Araceae,Anthurium,scandens,1.04,23.69,15.11,,https://www.biodiversitylibrary.org/page/50960929#page/40/mode/1up,,,,2,8.5,3.5,13,1.5,5,simple,,,
Alismatales,Araceae,Dieffenbachia,seguine,0.78,66.17,28.65,,,,,,,,,,,,,,,
Apiales,Araliaceae,Aralia,excelsa,14.23,126.92,51.50,,,,,,,,,,,,,,,
Apiales,Araliaceae,Dendropanax,arboreus,11.61,77.86,28.67,,https://www.biodiversitylibrary.org/page/54722877#page/7/mode/1up,,,,,40,6,26,3,14,simple,,,
Apiales,Araliaceae,Hedera,helix,10.50,44.53,14.19,,,,,,,,,,,,,,,
Apiales,Araliaceae,Polyscias,murrayi,25.33,92.48,30.89,Compound leaves with a large number (up to 30 or more) of leaflets. Stipule-like growths produced on the upper surface of the compound leaf rhachis where the leaflets are attached. Leaflet blades about 5-16 x 2-4.5 cm.,http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Polyscias_murrayi.htm,,,,,,,,,,compuesta,,,pocos ejemplares y sin escala como para medir (herbario P)
Apiales,Myodocarpaceae,Myodocarpus,involucratus,5.26,60.03,16.22,,,,,,,,,,,,,,,
Apiales,Pennantiaceae,Pennantia,cunninghamii,7.57,50.11,20.06,Leaf blades about 10-16 x 5-8 cm. Glands or foveole-like structures on the underside of the leaf blade at major forks of the lateral veins. Similar structures may also occur along the midrib. Glands or foveoles often form raised lumps on the upper surface.,http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Pennantia_cunninghamii.htm,,,,,,10,16,5,8,simple,,,
Apiales,Pittosporaceae,Billardiera,scandens,3.28,34.51,12.06,,,,,,,,,,,,,,,
Apiales,Pittosporaceae,Citriobatus,pauciflorus,1.27,36.13,23.66,,,,,,,,,,,,,,,
Apiales,Pittosporaceae,Pittosporum,undulatum,11.12,46.96,17.81,,,,,,,,,,,,,,,
Aquifoliales,Aquifoliaceae,Ilex,aquifolium,5.73,32.08,10.31,,,,,,,,,,,,,,,
Aquifoliales,Aquifoliaceae,Ilex,sebertii,6.26,55.51,12.13,,,,,,,,,,,,,,,
Aquifoliales,Aquifoliaceae,Ilex,verticillata,5.07,30.76,10.36,,https://www.biodiversitylibrary.org/page/2141458#page/747/mode/1up,http://mediaphoto.mnhn.fr/media/1497867818175454c3LcHbfHWXyp2,,,0.5,1,2,8,2,4,simple,,,
Aquifoliales,Cardiopteridaceae,Citronella,smythii,5.62,65.93,22.79,,,,,,,,,,,,,,,
Aquifoliales,Stemonuraceae,Gomphandra,australiana,14.07,101.53,26.24,,https://www.biodiversitylibrary.org/name/Gomphandra_australiana,,,,0.7,1.5,6,17,5,8,simple,,,
Arecales,Arecaceae,Astrocaryum,mexicanum,3.54,67.99,54.30,,,,,,,,,,,,,,,
Arecales,Arecaceae,Bactris,trichophylla,1.93,74.56,65.01,,https://www.biodiversitylibrary.org/page/2376391#page/229/mode/1up,,,,,,150,200,,,compuesta,,,
Arecales,Arecaceae,Calamus,radicalis,31.50,272.49,130.37,"Compound leaves about 3 m long. Leaflets about 60-125 in each compound leaf. Leaflet blades linear, about 15-50 x 1-3 cm, sessile. Leaflet blades with spiny hairs present on the upper surface, underside mainly glabrous except for scattered broad-based spiny hairs, margins spiny. Leaflet blade margins armed with fine hair-like teeth. Compound leaf axis spiny on both the upper and lower surfaces, spines mainly straight on the upper surface, straight and recurved on the lower surface. Compound leaf petioles spiny. Compound leaf stem sheaths densely clothed in long spines (up to 5-6 cm long).",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Calamus_radicalis.htm,,,,,,,,15,30,compuesta,300,,
Arecales,Arecaceae,Livistona,australis,6.67,92.80,38.27,"Crown moderately compact to rather open, ± rounded, consisting of 35-60 leaves with straight to gently arching or moderately drooping petioles and pendulous segment-lobes. Ligules moderately prominent, pale brown, patchily floccose with ± appressed scales, margins irregularly fimbriate with fine, soft, straight, tapering scales 8-10 mm long. Petiole 140-250 x 1-2 cm; concave-convex to roughly semi-circular, sometimes convex above and often with 1-2 median ridges. Margins unarmed except at base or with a few small, pungent, hooked prickles near apex and scattered minute, blunt teeth elsewhere; toward base armed with ± closely and regularly spaced pungent, mostly retrorsely hooked blackish prickles to 2.5 mm long. Surfaces green, purplish-brown toward base; upper quite glabrous, sometimes irregularly pitted with narrow, elongated pits, lower rather closely pitted with obscure, shallow, short and broad to long and narrow pits, on young leaves bearing floccose scales to 3-4 mm long, usually pale brown, divided to base into several straplike but usually tightly twisted, branched laciniae. Hastula cylindrical to flattened; base shortly but broadly 3-lobed, lateral lobes wider than central; rim at 10-90° to costa, 5-30 mm wide usually with blunt peak at centre, with very narrow to broad necrotic margin. Lamina 110-130 cm long, moderately costapalmate, usually with narrow basal sinus or even with lower edges overlapping, chartaceous-coriaceous, moderately tough to rather brittle and readily split. Segments (35-) 40-46 either side of costa; largest segments 28-49 mm wide, tapering slightly toward point of bifurcation, free for 49-59% of their length, bifurcated for 50-63% of free length, the lobes parallel or slightly diverging, evenly tapering into soft, acute apices, early-frequently broken or split. Major longitudinal veins 7-10 either side of abaxial rib, moderately prominent above, slightly less prominent below; transverse veins evident to moderately prominent above, prominent below. Surfaces green, glossy, often with strong brownish tinge above, deep green beneath, closely striate between veins, quite glabrous except for ribs minutely punctate with brownish, pustular basal-masses, these stipitate on minute prickle-like stalks on adaxial ribs close to hastula; on young leaves bearing dense, floccose, pale brownish scales toward bases of ribs.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Livistona_australis.htm,,,,140,250,110,130,,,,315,,
Arecales,Arecaceae,Reinhardtia,gracilis,1.10,41.39,33.95,,https://www.biodiversitylibrary.org/page/2376739#page/299/mode/1up,,,,,,,,,,simple,,,
Arecales,Arecaceae,Washingtonia,robusta,11.30,77.23,65.82,,,,,,,,,,,,,,,
Asparagales,Asparagaceae,Asparagus,aethiopicus,2.53,54.46,22.88,"Leaves reduced to small veinless scales subtending axillary leaf-like stems (cladodes) that are grouped 2-5 in axils of scale leaves; cladodes flattened, linear or narrow elliptical; apex rounded and shortly apiculate, appearing one-veined, hairless.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Asparagus_aethiopicus.htm,,,,,,,,,,,,,
Asparagales,Asparagaceae,Eustrephus,latifolius,4.12,52.93,31.54,"Leaf blades about 4-10.5 x 1.2-3.5 cm, petioles about 0.1-0.3 cm long, grooved on the upper surface. Venation longitudinal and parallel with 2-4 veins on each side of the midrib more prominent that the rest.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Eustrephus_latifolius.htm,,,,0.1,0.3,4,10.5,1.2,3.5,simple,9.5,,
Asterales,Alseuosmiaceae,Crispiloba,disperma,4.49,33.62,17.21,,,,,,,,,,,,,13.4,,
Asterales,Alseuosmiaceae,Platyspermation,crassifolium,2.60,30.94,17.56,,,,,,,,,,,,,,,
Asterales,Argophyllaceae,Argophyllum,cryptophlebum,0.97,27.32,19.00,"Petiole 13-38 mm long; fully expanded lamina broadly-elliptic, ovate, or broadly ovate, 41-131 mm long, 21-61 mm wide, 1.5-2.9 times longer than wide; 5-7 lateral secondary veins on either side of midrib. Lamina apex usually acute, sometimes shortly acuminate; base cuneate, not oblique. Lamina margins denticulate, with teeth all about the same size, 7-14 on each side of the lamina, the teeth 0.3-0.8 mm long; margins sometimes entire, with teeth reduced to small glands. Upper surface of fully expanded lamina green, glabrous or sometimes with persisting T-shaped hairs 0.3-0.5 mm long. Lower surface of lamina white or rusty-brown from hairs, hairs appressed; secondary veins rusty, slightly raised; tertiary veins rusty or white, ± flush with indumentum.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Argophyllum_cryptophlebum.htm,,,,1.3,3.8,4.1,13.1,2.1,6.1,simple,11.15,,
Asterales,Argophyllaceae,Argophyllum,grunowii,2.20,30.38,18.60,,,,,,,,,,,,,,,
Asterales,Argophyllaceae,Argophyllum,nitidum,5.00,88.99,9.82,,https://www.biodiversitylibrary.org/page/46694981#page/240/mode/1up,,,,,,6,15,1.5,5,,,,
Asterales,Argophyllaceae,Argophyllum,vernicosum,1.82,44.56,11.95,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ageratina,sp,1.21,37.00,13.46,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ambrosia,artemisiifolia,0.90,24.84,15.13,,,,,,,,,,,,,,,
Asterales,Asteraceae,Artemisia,californica,1.10,24.44,11.30,,,,,,,,,,,,,,,
