"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"1","Alismatales","Araceae","Anthurium","Anthurium_scandens",1.04,23.69,15.11,NA,NA,2,8.5,3.5,13,"simple",NA,NA,13.5,13.5
"2","Alismatales","Araceae","Dieffenbachia","Dieffenbachia_seguine",0.78,66.17,28.65,NA,NA,1,16,5,15,"simple",NA,NA,18.5,18.5
"3","Apiales","Araliaceae","Aralia","Aralia_excelsa",14.23,126.92,51.5,NA,NA,NA,NA,NA,NA,"compound",200,NA,NA,200
"4","Apiales","Araliaceae","Dendropanax","Dendropanax_arboreus",11.61,77.86,28.67,NA,NA,NA,40,6,26,"simple",56,NA,NA,56
"5","Apiales","Araliaceae","Hedera","Hedera_helix",10.5,44.53,14.19,4.165,12.17,1.718,8.162,2.447,5.03,"simple",7.84,8.1675,8.6785,8.6785
"6","Apiales","Araliaceae","Polyscias","Polyscias_murrayi",25.33,92.48,30.89,NA,NA,NA,NA,NA,NA,"compound",130,NA,NA,130
"7","Apiales","Pennantiaceae","Pennantia","Pennantia_cunninghamii",7.57,50.11,20.06,10,16,NA,NA,NA,NA,"simple",NA,13,NA,13
"8","Apiales","Pittosporaceae","Billardiera","Billardiera_scandens",3.28,34.51,12.06,1.711,3.934,0.214,0.458,1.539,3.476,"simple",2.552,2.8225,2.8435,2.8435
"9","Apiales","Pittosporaceae","Citriobatus","Citriobatus_pauciflorus",1.27,36.13,23.66,0.531,1.642,0.102,0.311,0.965,1.412,"simple",1.2452,1.0865,1.395,1.395
"10","Apiales","Pittosporaceae","Pittosporum","Pittosporum_undulatum",11.12,46.96,17.81,7.903,13.991,1.085,2.381,6.818,11.61,"simple",11.3062,10.947,10.947,10.947
"11","Aquifoliales","Aquifoliaceae","Ilex","Ilex_aquifolium",5.73,32.08,10.31,4.147,11.24,0.567,1.285,3.58,10.051,"simple",7.8406,7.6935,7.7415,7.7415
"12","Aquifoliales","Aquifoliaceae","Ilex","Ilex_sebertii",6.26,55.51,12.13,5.749,10.575,1.002,2.161,4.535,8.414,"simple",7.4934,8.162,8.056,8.056
"13","Aquifoliales","Aquifoliaceae","Ilex","Ilex_verticillata",5.07,30.76,10.36,NA,NA,0.5,1,2,8,"simple",NA,NA,5.75,5.75
"14","Aquifoliales","Cardiopteridaceae","Citronella","Citronella_smythii",5.62,65.93,22.79,11.345,15.94,1.071,1.296,10.116,14.869,"simple",14.138,13.6425,13.676,13.676
"15","Aquifoliales","Stemonuraceae","Gomphandra","Gomphandra_australiana",14.07,101.53,26.24,NA,NA,0.7,1.5,6,17,"simple",NA,NA,12.6,12.6
"16","Arecales","Arecaceae","Astrocaryum","Astrocaryum_mexicanum",3.54,67.99,54.3,100,160,NA,NA,40,100,"compound",NA,130,NA,130
"17","Arecales","Arecaceae","Bactris","Bactris_trichophylla",1.93,74.56,65.01,NA,NA,NA,NA,NA,NA,"compound",150,NA,NA,150
"18","Arecales","Arecaceae","Calamus","Calamus_radicalis",31.5,272.49,130.37,NA,NA,NA,NA,NA,NA,"compound",300,NA,NA,300
"19","Arecales","Arecaceae","Livistona","Livistona_australis",6.67,92.8,38.27,NA,NA,140,250,110,130,"simple",NA,NA,315,315
"20","Arecales","Arecaceae","Reinhardtia","Reinhardtia_gracilis",1.1,41.39,33.95,12,30,NA,NA,NA,NA,"compound",NA,21,NA,21
"21","Arecales","Arecaceae","Washingtonia","Washingtonia_robusta",11.3,77.23,65.82,NA,NA,81,154,93,113,"simple",NA,NA,220.5,220.5
"22","Asparagales","Asparagaceae","Eustrephus","Eustrephus_latifolius",4.12,52.93,31.54,NA,NA,0.1,0.3,4,10.5,"simple",9.5,NA,7.45,7.45
"23","Asterales","Alseuosmiaceae","Crispiloba","Crispiloba_disperma",4.49,33.62,17.21,9.764,11.517,0.518,1.371,9.246,10.774,"simple",10.808,10.6405,10.9545,10.9545
"24","Asterales","Alseuosmiaceae","Platyspermation","Platyspermation_crassifolium",2.6,30.94,17.56,4.961,7.756,0.779,0.872,4.089,6.977,"simple",6.407333,6.3585,6.3585,6.3585
"25","Asterales","Argophyllaceae","Argophyllum","Argophyllum_cryptophlebum",0.97,27.32,19,NA,NA,1.3,3.8,4.1,13.1,"simple",11.15,NA,11.15,11.15
"26","Asterales","Argophyllaceae","Argophyllum","Argophyllum_grunowii",2.2,30.38,18.6,6.724,14.732,1.614,3.714,5.11,11.018,"simple",10.522,10.728,10.728,10.728
