order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Ericales,Clethraceae,Clethra,alnifolia,,L.,Olson,5045,0.48
Ericales,Clethraceae,Clethra,alnifolia,,L.,Olson,5046,0.51
Ericales,Clethraceae,Clethra,alnifolia,,L.,Olson,5047,0.5
Asterales,Asteraceae,Ericameria,arborescens,,(A. Gray) Greene,M?ndez-Alonzo,46,0.55
Asterales,Asteraceae,Ericameria,arborescens,,(A. Gray) Greene,M?ndez-Alonzo,47,0.63
Asterales,Asteraceae,Ericameria,arborescens,,(A. Gray) Greene,M?ndez-Alonzo,48,0.61
Caryophyllales,Achatocarpaceae,Achatocarpus,gracilis,,H.Walter,Olson,2735,0.71
Caryophyllales,Achatocarpaceae,Achatocarpus,gracilis,,H.Walter,Olson,2736,0.65
Caryophyllales,Achatocarpaceae,Achatocarpus,gracilis,,H.Walter,Olson,2737,0.73
Asterales,Asteraceae,Cassinia,affcunninghamii,,DC. ,Rosell,1,0.75
Asterales,Asteraceae,Cassinia,affcunninghamii,,DC. ,Rosell,3,0.75
Asterales,Asteraceae,Cassinia,affcunninghamii,,DC. ,Rosell,4,0.77
Lamiales,Plantaginaceae,Keckiella,ternata,,(Torr. ex. A. Gray)Straw,M?ndez-Alonzo,61,0.4
Lamiales,Plantaginaceae,Keckiella,ternata,,(Torr. ex. A. Gray)Straw,M?ndez-Alonzo,62,0.46
Lamiales,Plantaginaceae,Keckiella,ternata,,(Torr. ex. A. Gray)Straw,M?ndez-Alonzo,63,0.63
Ericales,Ericaceae,Daboecia,cantabrica,,(Huds.) K.Koch,Camarero,Dca3,0.6
Rosales,Ulmaceae,Ulmus,glabra,,Huds.,Camarero,Ugl1,0.52
Rosales,Ulmaceae,Ulmus,glabra,,Huds.,Camarero,Ugl2,0.54
Rosales,Ulmaceae,Ulmus,glabra,,Huds.,Camarero,Ugl3,0.48
Fabales,Fabaceae,Cercidium,peninsulare,,Rose,Olson,3076,0.62
Fabales,Fabaceae,Cercidium,peninsulare,,Rose,Olson,3077,0.63
Fabales,Fabaceae,Cercidium,peninsulare,,Rose,Olson,3078,0.62
