 order,family,genus,species,StemLengthMeters,VDbase um (Vessel diameter stem base micrometers),VDtip um (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Min. longitud total de la hoja (cm),Max. longitud total de la hoja (cm),Min. longitud del peciolo (cm),Max. longitud del peciolo (cm),Min. longitud de la lamina (cm),Max. longitud de la lamina (cm),Min. ancho de hoja o lamina (cm),Max. ancho de hoja o lamina (cm),Tipo de hoja (simple o compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS,,,,
Alismatales,Araceae,Anthurium,scandens,1.04,23.69,15.11,"Pecíolos de 0,3 a 9,0 cm, acanalados por arriba con los márgenes agudos, redondeados por debajo. Láminas foliares simples de 2,0 a 14,0 por 0,8 a 5,5 cm, de lanceoladas a elípticas u ovadas, negro-glandulares en el envés, y también lo son frecuentemente en el haz. Pedúnculos de 0,6 a 6,0 cm, de erectos a péndulos, cilíndricos.",https://www.biodiversitylibrary.org/page/50960929#page/40/mode/1up,,,,2,8.5,3.5,13,1.5,5,simple,,,,,,,
Alismatales,Araceae,Dieffenbachia,seguine,0.78,66.17,28.65,"Hojas juveniles algunas veces con 3 a 5 lobulos, pero las maduras usualmente enteras, hojas con el pecíolo de 1 a 16 cm de largo; lámina de 5-15 por (2-)2,5-9 cm, ovada, ovado-elíptica, elíptica a obovada, cuneada a obtusa basalmente, aguda o acuminada apicalmente, entera o levemente crenada, con puntos pelúcidos pocos a muchos; pecíolo de 1 a 16 cm de largo.",http://www.crbio.cr:8080/neoportal-web/species/Dendropanax%20arboreus,,,,1,16,5,15,2.5,9,simple,,,,,,,
Apiales,Araliaceae,Aralia,excelsa,14.23,126.92,51.50,"Hojas hasta 2 m de largo, tripinnadas, folíolos ovados a elípticos, serrados, membranáceos, peciolulados; pecíolos algo envainadores en la base",Aralia_excelsa_P02286485/Aralia_excelsa_P02286484(https://www.alamy.com/contributions-from-the-united-states-national-herbarium-botany-systematics-of-aralia-145-fig-55-aralia-excelsa-griseb-j-wen-a-leaf-with-accessory-pinna-b-stem-with-inflorescences-c-inflorescence-d-floral-bud-e-flower-after-anthesis-f-fruit-a-steyermark-et-al-109907-ny-b-moreno-25344-bm-c-e-smith-1595-ny-f-folsom-3436-bm-please-note-that-these-images-are-extracted-from-scanned-page-images-that-may-have-been-digitally-enhanced-for-readability-coloration-and-appearance-of-these-illustrations-may-not-perfectly-resemble-the-original-work-national-muse-image232552441.html,,,,,,,,40,50,compound,200,,,,,,
Apiales,Araliaceae,Dendropanax,arboreus,11.61,77.86,28.67,,https://plants-jstor-org.pbidi.unam.mx:2443/search?filter=name&so=ps_group_by_genus_species+asc&Query=%28Aralia+excelsa%29),,,,,40,6,26,3,14,simple,56,,,,,,
Apiales,Araliaceae,Hedera,helix,10.50,44.53,14.19,"Hojas: Alternas, pecioladas, simples, las juveniles coriáceas, de 2 a 15 cm de largo, con 3 a 9 lóbulos o bien enteras, color verde oscuro, base hastada a cordada,  ápice obtuso, ondulado o retorcido, venación palmada; las hojas maduras menos diversas en tamaño, forma y color, generalmente ovadas a elíptico-rómbicas, con la base cuneada, redondeada o truncada, ápice agudo, haz ceroso y a veces brilloso; en ocasiones tanto las hojas juveniles como las maduras presentan albinismos (zonas decoloradas).",http://www.conabio.gob.mx/malezasdemexico/araliaceae/hedera-helix/fichas/ficha.htm,especie_herbario_ID: Hedera_helix_NY_01088186/Hedera_helix_NY_01500648/Hedera_helix_NY_02549480/Hedera_helix_NY_02549481/Hedera_helix_NY_02595403,4.165,12.17,1.718,8.162,2.447,5.03,3.358,8.512,simple,7.84,6.0266,,,,,
Apiales,Araliaceae,Polyscias,murrayi,25.33,92.48,30.89,"Compound leaves with a large number (up to 30 or more) of leaflets. Stipule-like growths produced on the upper surface of the compound leaf rhachis where the leaflets are attached. Leaflet blades about 5-16 x 2-4.5 cm.   Leaves 1-pinnate, to 1.3 m long with 11–17 pairs of leaflets; leaflets narrow-ovate to elliptic, 6–16 cm long, 3–9 cm wide, apex acute to acuminate, base truncate or shortly attenuate and often asymmetric, margins minutely toothed, not aromatic when crushed; petiole U-shaped in cross section.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Polyscias_murrayi.htm   https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Polyscias~murrayi,,,,,,,,10,32,compound,130,22,,,,,
Apiales,Myodocarpaceae,Myodocarpus,involucratus,5.26,60.03,16.22,,Protologo: |  https://www.biodiversitylibrary.org/page/4097359#page/772/mode/1up   | Imagen y pie de imagen https://www.biodiversitylibrary.org/page/41480348#page/248/mode/1up,1 https://science.mnhn.fr/institution/mnhn/collection/p/item/p00144466?listIndex=1&listCount=140 | 2 https://science.mnhn.fr/institution/mnhn/collection/p/item/p00239079?listIndex=2&listCount=140 | 3 https://science.mnhn.fr/institution/mnhn/collection/p/item/p02550252?listIndex=6&listCount=140 | 4 https://science.mnhn.fr/institution/mnhn/collection/p/item/p02550253?listIndex=7&listCount=140,,,,,,,,,simple,20,,,,,,
Apiales,Pennantiaceae,Pennantia,cunninghamii,7.57,50.11,20.06,Leaf blades about 10-16 x 5-8 cm. Glands or foveole-like structures on the underside of the leaf blade at major forks of the lateral veins. Similar structures may also occur along the midrib. Glands or foveoles often form raised lumps on the upper surface.,http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Pennantia_cunninghamii.htm,,10,16,,,,,5,8,simple,,,,,,,
Apiales,Pittosporaceae,Billardiera,scandens,3.28,34.51,12.06,,,especie_herbario_ID: Billardiera_scandens_US_00898681/Billardiera_scandens_US_03788131/Billardiera_scandens_US_01205891/Billardiera_scandens_US_03788133/Billardiera_scandens_US_03788127,1.711,3.934,0.214,0.458,1.539,3.476,0.413,1.456,simple,2.552,0.8698,,,,,
Apiales,Pittosporaceae,Citriobatus,pauciflorus,1.27,36.13,23.66,,,,0.531,1.642,0.102,0.311,0.965,1.412,0.457,0.735,simple,1.2452,0.5878,,,,,
Apiales,Pittosporaceae,Pittosporum,undulatum,11.12,46.96,17.81,,,Pittosporum_undulatum_TCD_TCD0010018/Pittosporum_undulatum_TCD_TCD0010022/Pittosporum_undulatum_B_B-W04809-020/Pittosporum_undulatum_E_E00648510/Pittosporum_undulatum_PRE_PRE0778343-0,7.903,13.991,1.085,2.381,6.818,11.61,2.11,3.592,simple,11.3062,3.0652,,,,,
